year,species
2016,Accipiter trivirgatus
2016,Cuculus optatus
2016,Alcedo atthis
2016,Zosterops simplex
2016,Tarsiger cyanurus
2016,Streptopelia chinensis
2016,Urosphena squameiceps
2016,Turdus obscurus
2016,Psilopogon nuchalis
2016,Streptopelia chinensis
2016,Streptopelia chinensis
2016,Calliope calliope
2016,Turdus obscurus
2016,Accipiter trivirgatus
2016,Zosterops simplex
2016,Pycnonotus sinensis
2016,Psilopogon nuchalis
2016,Turdus pallidus
2016,Turdus chrysolaus
2016,Myiomela leucura
2016,Psilopogon nuchalis
2016,Psilopogon nuchalis
2016,Turdus pallidus
2016,Turdus pallidus
2016,Turdus pallidus
2016,Streptopelia chinensis
2016,Gorsachius melanolophus
2016,Psilopogon nuchalis
2016,Turdus pallidus
2016,Turdus chrysolaus
2016,Accipiter trivirgatus
2016,Accipiter trivirgatus
2016,Streptopelia orientalis
2016,Zosterops simplex
2016,Zoothera aurea
2016,Phasianus colchicus
2016,Turdus pallidus
2016,Turdus pallidus
2017,Accipiter trivirgatus
2017,Alcedo atthis
2017,Passer montanus
2017,Chalcophaps indica
2017,Accipiter trivirgatus
2017,Pycnonotus sinensis
2017,Psilopogon nuchalis
2017,Streptopelia chinensis
2017,Streptopelia orientalis
2017,Psilopogon nuchalis
2017,Chalcophaps indica
2017,Accipiter virgatus
2017,Turdus chrysolaus
2017,Turdus pallidus
2017,Streptopelia chinensis
2017,Chalcophaps indica
2017,Psilopogon nuchalis
2017,Streptopelia orientalis
2017,Alcedo atthis
2017,Accipiter trivirgatus
2017,Psilopogon nuchalis
2017,Oriolus traillii
2017,Chalcophaps indica
2017,Accipiter trivirgatus
2017,Accipiter trivirgatus
2017,Accipiter trivirgatus
2017,Passer montanus
2017,Passer montanus
2017,Psilopogon nuchalis
2017,Chalcophaps indica
2017,Pycnonotus sinensis
2017,Streptopelia orientalis
2017,Chalcophaps indica
2017,Accipiter trivirgatus
2017,Chalcophaps indica
2017,Chalcophaps indica
2017,Otus lettia
2017,Chalcophaps indica
